RefSeqGeneName	TadaGeneName	ExomeMutRate	dnLoF	caseLoF	ctrlLoF	transLoF	ntransLoF	dnMis3	caseMis3	ctrlMis3	transMis3	ntransMis3	SmallDelMutRate	dnSmallDel	tadaFdrAscSscExomeSscAgpSmallDel	65genes_tadaFdrAscSscExomeSscAgpSmallDel	tadaFdrAscSscExome	59genes_tadaFdrAscSscExome	tadaFdrAscExome	tadaFdrSscExome													
FAM46A	FAM46A	2.29E-05	0	0	1	0	0	0	2	3	1	1	1.72E-07	0	0.929803828	0	0.928631553	0	0.912919951	0.938536197													
FRS2	FRS2	1.93E-05	0	0	1	0	0	0	3	4	2	2	3.96E-07	0	0.929807669	0	0.924482679	0	0.910137023	0.927700615													
MSANTD3-TMEFF1	C9orf30-TMEFF1	1.74E-05	0	0	0	0	0	0	0	0	0	0	4.55E-07	0	0.929811509	0	0.923128205	0	0.936097913	1													
ABCE1	ABCE1	2.12E-05	0	0	0	0	0	0	0	2	0	0	2.23E-07	0	0.929815349	0	0.927828252	0	0.93781293	0.929699297													
TRIM39	TRIM39	2.18E-05	0	0	0	0	0	0	3	0	1	0	1.90E-07	0	0.929819189	0	0.928364953	0	0.938102194	1													
RIC8B	RIC8B	1.84E-05	0	0	0	0	0	0	1	1	5	1	4.07E-07	0	0.929823028	0	0.924256293	0	0.935882378	0.926600019													
RBM44	RBM44	2.99E-05	0	2	3	1	2	0	3	4	3	3	2.59E-07	0	0.929826867	0	0.927161537	0	0.906758628	0.881206585													
VDR	VDR	2.14E-05	0	0	0	0	0	0	6	9	3	2	2.12E-07	0	0.929830705	0	0.928043357	0	0.937933898	0.929938148													
CAPSL	CAPSL	8.25E-06	0	0	2	0	0	0	1	8	2	2	2.13E-07	0	0.929834542	0	0.92801703	0	0.926124359	0.889653748													
TUBA4A	TUBA4A	2.18E-05	0	0	0	0	0	0	0	1	0	0	1.86E-07	0	0.929838379	0	0.928435538	0	0.938152726	0.871100213													
PRKAA1	PRKAA1	2.07E-05	0	0	0	0	0	0	0	0	0	0	2.50E-07	0	0.929842215	0	0.927350875	0	0.93813412	0.929188886													
ISM1	ISM1	2.21E-05	0	0	1	0	0	0	3	12	0	2	2.32E-07	0	0.929846051	0	0.92768015	0	0.912097048	0.930587401													
POU3F4	POU3F4	2.18E-05	0	0	0	0	0	0	0	0	0	0	1.83E-07	0	0.929849886	0	0.928498548	0	0.938642333	1													
PDAP1	PDAP1	8.58E-06	0	0	2	0	0	0	1	3	0	1	1.94E-07	0	0.929853721	0	0.928324013	0	0.926578812	0.907530777													
SETD9	C5orf35	1.18E-05	0	2	7	2	1	0	2	3	1	1	1.93E-07	0	0.929857556	0	0.928350073	0	0.922999437	1													
NPEPL1	NPEPL1	2.28E-05	0	0	1	0	0	0	1	7	0	4	1.97E-07	0	0.929861389	0	0.928301657	0	0.912448975	0.931148617													
IL10RA	IL10RA	2.29E-05	0	0	0	0	0	0	5	5	7	1	1.69E-07	0	0.929865223	0	0.92871254	0	0.938035549	0.931233924													
MEIS3	MEIS3	2.14E-05	0	0	0	0	0	0	1	13	5	4	2.08E-07	0	0.929869056	0	0.928118454	0	0.938048893	0.801590509													
IGFBP4	IGFBP4	8.52E-06	0	0	1	0	1	0	1	1	1	0	1.98E-07	0	0.929872888	0	0.928294202	0	0.926526301	0.907305103													
LGI2	LGI2	2.32E-05	0	0	1	0	0	0	4	12	2	3	1.54E-07	0	0.92987672	0	0.92892506	0	0.913099468	0.873217253													
SERBP1	SERBP1	2.23E-05	0	0	1	0	0	0	1	3	0	1	2.16E-07	0	0.929880551	0	0.92799821	0	0.912346696	0.930716946													
SYT2	SYT2	1.87E-05	0	0	0	0	0	0	5	3	2	1	3.92E-07	0	0.929884382	0	0.924669219	0	0.936106608	0.926971991													
ZNF512	ZNF512	2.17E-05	0	0	1	0	0	0	0	2	0	1	2.57E-07	0	0.929888213	0	0.927304629	0	0.911904949	0.930250341													
ZNF398	ZNF398	2.02E-05	0	0	0	0	0	0	2	15	6	4	2.80E-07	0	0.929892043	0	0.926861521	0	0.93741615	0.928687437													
ZSCAN5A	ZSCAN5A	2.18E-05	0	0	0	0	0	0	2	11	1	1	1.92E-07	0	0.929895872	0	0.928413266	0	0.938158039	0.882691628													
CYP46A1	CYP46A1	2.11E-05	0	0	0	0	0	0	2	2	1	0	2.32E-07	0	0.929899701	0	0.927752399	0	0.937796752	0.929583908													
DUSP10	DUSP10	2.24E-05	0	0	1	0	0	0	0	3	1	1	2.12E-07	0	0.92990353	0	0.928095941	0	0.91245627	0.930845728													
SOCS5	SOCS5	2.12E-05	0	0	1	0	0	0	1	14	4	2	2.85E-07	0	0.929907358	0	0.926783053	0	0.911622438	0.929746619													
SHISA7	SHISA7	2.17E-05	0	0	0	0	0	0	0	0	0	0	1.93E-07	0	0.929911185	0	0.928394693	0	0.93857707	1													
UPK1B	UPK1B	9.94E-06	0	1	2	1	3	0	1	2	2	3	1.92E-07	0	0.929915012	0	0.928428116	0	0.925332247	0.941190036													
THAP6	THAP6	8.37E-06	0	0	2	0	0	0	2	7	1	1	2.09E-07	0	0.929918838	0	0.928155937	0	0.926394528	0.906963112													
CHRDL1	CHRDL1	1.75E-05	0	0	0	0	0	0	0	3	0	0	4.61E-07	0	0.929922664	0	0.923146043	0	0.935349528	0.925440461													
PITPNM1	PITPNM1	7.24E-05	0	1	1	1	0	0	5	26	14	12	2.02E-07	0	0.929926489	0	0.928283016	0	0.879926013	0.944287775													
BEST2	BEST2	2.29E-05	0	0	1	0	0	0	1	6	3	2	1.78E-07	0	0.929930314	0	0.92865366	0	0.912955919	0.931290608													
TRAF4	TRAF4	2.27E-05	0	0	1	0	0	0	3	10	2	4	1.92E-07	0	0.929934139	0	0.928454085	0	0.91276124	0.938484783													
IL8	IL8	3.17E-06	0	1	3	0	1	0	0	1	0	0	1.78E-07	0	0.929937963	0	0.928657343	0	0.932321568	0.936996599													
C9orf171	C9orf171	2.01E-05	0	0	1	0	0	0	1	18	2	4	3.91E-07	0	0.929941786	0	0.924757846	0	0.909981098	0.867987303													
SLC35G3	SLC35G3	1.62E-05	0	1	2	0	1	0	3	16	2	3	1.81E-07	0	0.929945609	0	0.92862418	0	0.918163888	0.736974578													
FNIP2	FNIP2	4.20E-05	0	0	0	1	1	0	4	23	2	1	4.72E-07	0	0.929949431	0	0.922899767	0	0.889225082	0.938538533													
DHX30	DHX30	6.29E-05	0	1	0	0	0	0	2	12	2	4	2.79E-07	0	0.929953253	0	0.926967088	0	0.88269344	0.933862374													
STK24	STK24	1.91E-05	0	0	0	0	0	0	0	4	1	1	3.62E-07	0	0.929957074	0	0.92540354	0	0.936559944	1													
GDF11	GDF11	2.18E-05	0	0	0	0	0	0	0	5	1	1	1.96E-07	0	0.929960895	0	0.928409552	0	0.938168664	0.895802675													
CD58	CD58	7.17E-06	0	0	2	0	0	0	0	2	0	0	2.92E-07	0	0.929964716	0	0.926712251	0	0.924279543	0.903261631													
ATP6V1H	ATP6V1H	1.91E-05	0	0	1	0	0	0	2	14	0	2	4.41E-07	0	0.929968536	0	0.923724124	0	0.909477557	0.927506711													
NPM2	NPM2	8.80E-06	0	0	1	0	1	0	3	6	1	2	1.84E-07	0	0.929972355	0	0.928609427	0	0.927050654	0.940922574													
TBL3	TBL3	4.64E-05	0	1	1	0	0	0	8	40	12	10	1.80E-07	0	0.929976174	0	0.928664708	0	0.895869859	0.912179323													
DST	DST	0.000174074	1	6	13	2	0	0	46	172	43	37	1.45E-06	0	0.929979992	0	0.876176391	0	0.706596658	0.690697074													
HSPB8	HSPB8	8.88E-06	0	0	2	0	0	0	0	7	3	1	1.80E-07	0	0.929983809	0	0.92866839	0	0.927110592	0.908247594													
CDC40	CDC40	2.07E-05	0	0	0	0	0	0	0	5	0	2	2.72E-07	0	0.929987626	0	0.927114981	0	0.937443538	0.929216602													
TGFB2	TGFB2	2.02E-05	0	0	0	0	0	0	1	8	1	1	2.96E-07	0	0.929991443	0	0.926657067	0	0.937229103	0.928637714													
NR1H2	NR1H2	2.32E-05	0	0	1	0	0	0	2	14	2	1	1.70E-07	0	0.929995259	0	0.92881898	0	0.913027747	0.931553279													
FMO1	FMO1	1.84E-05	0	2	5	1	1	0	1	10	4	4	1.24E-07	0	0.929999074	0	0.929432158	0	0.918429475	0.926635163													
ZRSR2	ZRSR2	2.10E-05	0	0	0	0	0	0	0	1	0	0	2.45E-07	0	0.930002888	0	0.927634432	0	0.937715714	0.929502075													
SHOC2	SHOC2	1.88E-05	0	0	0	0	0	0	1	4	0	0	3.82E-07	0	0.930006702	0	0.925017868	0	0.936385975	0.927144139													
H2AFY2	H2AFY2	2.08E-05	0	0	0	0	0	0	0	0	2	0	2.57E-07	0	0.930010516	0	0.927412424	0	0.93763982	0.929292648													
SLC6A16	SLC6A16	2.97E-05	0	0	1	1	1	0	2	15	3	3	2.42E-07	0	0.930014329	0	0.927699179	0	0.90758857	0.939581885													
BMP8A	BMP8A	2.11E-05	0	0	0	0	0	0	1	5	2	4	2.37E-07	0	0.930018142	0	0.927767585	0	0.93781832	0.929600918													
POTEC	POTEC	2.07E-05	0	0	0	0	0	0	0	0	0	0	2.61E-07	0	0.930021954	0	0.927347024	0	0.938131461	1													
MAOB	MAOB	1.95E-05	0	0	0	0	0	0	0	3	0	0	3.42E-07	0	0.930025766	0	0.925889562	0	0.936819839	0.93730413													
KIAA0513	KIAA0513	2.17E-05	0	0	0	0	0	0	3	11	1	5	2.07E-07	0	0.930029577	0	0.928290474	0	0.938062229	0.93018759													
ALAS2	ALAS2	2.24E-05	0	0	1	0	0	0	0	3	0	0	2.22E-07	0	0.930033387	0	0.928073415	0	0.912412477	0.930836095													
PITX3	PITX3	2.18E-05	0	0	0	0	0	0	0	2	0	0	1.99E-07	0	0.930037198	0	0.928424404	0	0.938187244	0.930345763													
CDC42EP4	CDC42EP4	2.29E-05	0	0	1	0	0	0	4	10	4	2	1.84E-07	0	0.930041007	0	0.928649976	0	0.912883944	0.931218151													
CDK5R2	CDK5R2	2.21E-05	0	0	0	0	0	0	0	1	0	0	1.80E-07	0	0.930044816	0	0.928708863	0	0.938330131	0.930574405													
SERINC2	SERINC2	2.29E-05	0	0	0	0	0	0	0	27	5	5	1.90E-07	0	0.930048625	0	0.928565126	0	0.937858704	0.925037153													
VWDE	VWDE	6.26E-05	0	3	3	0	0	0	0	0	0	0	2.27E-07	0	0.930052432	0	0.927971838	0	0.884757128	1													
BCL10	BCL10	8.89E-06	0	0	1	0	1	0	1	1	3	0	1.89E-07	0	0.93005624	0	0.928583593	0	0.926878571	0.891124695													
GMEB1	GMEB1	2.05E-05	0	0	0	0	0	0	1	3	0	1	2.79E-07	0	0.930060047	0	0.927076132	0	0.937435325	0.928951892													
CYTH4	CYTH4	2.28E-05	0	0	1	0	0	0	2	3	0	1	1.94E-07	0	0.930063854	0	0.928520756	0	0.912746774	0.93113595													
MSGN1	MSGN1	9.15E-06	0	0	2	0	0	0	0	3	0	1	1.74E-07	0	0.93006766	0	0.928811651	0	0.927225771	0.908872221													
ASPHD1	ASPHD1	2.20E-05	0	0	0	0	0	0	1	4	1	1	1.85E-07	0	0.930071466	0	0.928672071	0	0.938295807	0.871576421													
NBPF3	NBPF3	2.38E-05	0	3	7	1	0	0	2	6	7	6	2.64E-07	0	0.930075271	0	0.927370123	0	0.910860598	0.901660918													
GOLGA8B	GOLGA8B	2.16E-05	0	0	0	0	0	0	0	0	0	0	2.09E-07	0	0.930079076	0	0.928305384	0	0.938553534	1													
BCL2	BCL2	1.76E-05	0	0	0	0	0	0	0	3	0	1	4.65E-07	0	0.93008288	0	0.923257293	0	0.935439218	0.925657708													
PPP2R5E	PPP2R5E	1.73E-05	0	0	0	0	0	0	1	1	0	0	4.80E-07	0	0.930086683	0	0.922908761	0	0.935277518	0.936287818													
ELMOD3	ELMOD3	1.54E-05	0	1	2	0	1	0	3	10	5	3	2.28E-07	0	0.930090486	0	0.92800574	0	0.917213569	0.910423593													
CYP2E1	CYP2E1	2.42E-05	0	2	4	0	0	0	4	12	2	4	1.48E-07	0	0.930094289	0	0.929186881	0	0.91301339	0.87431585													
SCD5	SCD5	1.85E-05	0	0	0	0	0	0	1	13	3	1	4.07E-07	0	0.930098091	0	0.924635392	0	0.936167368	0.926662463													
ITGAL	ITGAL	5.28E-05	0	0	5	1	1	1	3	16	4	4	2.64E-07	0	0.930101893	0	0.927381666	0	0.884861855	0.924081082													
CLPX	CLPX	2.20E-05	0	0	1	0	0	0	0	4	1	4	2.54E-07	0	0.930105693	0	0.927581003	0	0.911986348	0.930470173													
TTYH2	TTYH2	3.01E-05	0	0	0	1	2	0	9	16	4	4	2.19E-07	0	0.930109494	0	0.928170916	0	0.908144906	0.936107913													
GRK1	GRK1	1.71E-05	0	0	0	0	0	0	5	14	4	4	4.85E-07	0	0.930113294	0	0.92283223	0	0.935286531	0.924940437													
UBXN7	UBXN7	1.97E-05	0	0	0	0	0	0	2	4	1	1	3.29E-07	0	0.930117093	0	0.926203751	0	0.937054554	0.928174207													
MAP3K2	MAP3K2	2.08E-05	0	0	0	0	0	0	1	6	1	1	2.63E-07	0	0.930120892	0	0.927420108	0	0.937604502	0.929240827													
SNX1	SNX1	2.10E-05	0	0	0	0	0	0	1	11	3	5	2.56E-07	0	0.93012469	0	0.927554249	0	0.937656102	0.869992646													
C17orf78	C17orf78	8.61E-06	0	0	2	0	0	0	0	0	0	0	2.04E-07	0	0.930128487	0	0.928405838	0	0.927971542	0.907608459													
PHRF1	PHRF1	9.46E-05	0	0	0	0	0	1	9	32	9	14	2.12E-07	0	0.930132284	0	0.92829793	0	0.880351137	0.946254848													
FAM71F2	FAM71F2	1.21E-05	0	3	8	1	0	0	2	7	0	1	1.93E-07	0	0.93013608	0	0.928590977	0	0.923300616	0.881881733													
RTP4	RTP4	9.20E-06	0	0	2	0	0	0	1	8	1	4	1.78E-07	0	0.930139876	0	0.928796988	0	0.927149045	0.909077298													
SLC6A14	SLC6A14	2.14E-05	0	0	0	0	0	0	2	2	0	0	2.25E-07	0	0.930143671	0	0.928088434	0	0.938030209	0.9299916													
AMIGO1	AMIGO1	2.21E-05	0	0	0	0	0	0	1	3	3	1	1.82E-07	0	0.930147465	0	0.928752958	0	0.938338046	0.930571155													
ATL1	ATL1	1.91E-05	0	0	0	0	0	0	0	2	1	1	3.70E-07	0	0.930151259	0	0.925432358	0	0.936633692	0.927502965													
HJURP	HJURP	3.19E-05	0	0	3	3	2	0	0	16	3	4	1.83E-07	0	0.930155054	0	0.928774979	0	0.907855448	0.944063527													
TECTA	TECTA	0.0001103	1	2	11	1	1	0	19	56	20	27	3.14E-07	0	0.930158847	0	0.926518631	0	0.950623902	0.687827322													
NEK3	NEK3	1.70E-05	0	3	6	0	0	0	3	14	3	3	2.20E-07	0	0.930162641	0	0.928200851	0	0.916021186	0.87365102													
IL1R1	IL1R1	2.01E-05	0	0	0	0	0	0	1	10	2	1	3.11E-07	0	0.930166433	0	0.926581993	0	0.937248422	0.868133591													
ZIC3	ZIC3	2.20E-05	0	0	0	0	0	0	0	1	0	0	1.93E-07	0	0.930170225	0	0.928642608	0	0.938240254	0.930473437													
NR2E1	NR2E1	2.16E-05	0	0	0	0	0	0	1	2	0	0	2.17E-07	0	0.930174017	0	0.928271826	0	0.938096869	1													
CADM1	CADM1	1.90E-05	0	1	2	0	0	0	4	5	2	2	9.10E-07	0	0.930177808	0	0.909842018	0	0.894705221	0.927409108													
FBXL15	FBXL15	2.21E-05	0	0	0	0	0	0	1	3	0	0	1.86E-07	0	0.930181599	0	0.92873092	0	0.938314296	0.93054839													
CREB3L1	CREB3L1	2.10E-05	0	0	0	0	0	0	2	12	3	0	2.51E-07	0	0.93018539	0	0.927714395	0	0.937834483	0.929536207													
LARGE	LARGE	4.11E-05	0	1	1	1	0	0	2	11	1	3	2.09E-06	0	0.93018918	0	0.859353566	0	0.847637841	0.942484278													
SLC52A2	SLC52A2	2.33E-05	0	0	1	0	0	0	0	7	0	0	1.83E-07	0	0.93019297	0	0.92880432	0	0.912905554	0.92557598													
HS3ST2	HS3ST2	2.09E-05	0	0	1	0	0	0	1	3	1	1	3.21E-07	0	0.93019676	0	0.926431274	0	0.911352758	0.929330568													
DCX	DCX	1.84E-05	0	0	1	0	0	0	0	0	0	0	4.76E-07	0	0.930200549	0	0.923190595	0	0.910168124	0.926596111													
RPN1	RPN1	2.16E-05	0	0	0	0	0	0	2	11	0	1	2.29E-07	0	0.930204337	0	0.928122205	0	0.937987454	0.938096772													
CBX8	CBX8	2.24E-05	0	0	0	0	0	0	0	12	2	1	1.82E-07	0	0.930208125	0	0.928837296	0	0.938306374	0.930791092													
FKBP7	FKBP7	8.68E-06	0	0	2	0	0	0	3	11	0	0	2.10E-07	0	0.930211913	0	0.928420692	0	0.926687848	0.907746033													
TMEM139	TMEM139	9.03E-06	0	0	2	0	0	0	2	2	1	1	1.86E-07	0	0.9302157	0	0.928782317	0	0.927306493	0.834701088													
DNMT3B	DNMT3B	4.58E-05	0	0	0	1	1	0	2	22	8	6	2.44E-07	0	0.930219486	0	0.927877451	0	0.89456159	0.910485648													
CCDC142	CCDC142	3.86E-05	0	1	3	1	0	0	1	14	5	4	1.87E-07	0	0.930223272	0	0.92877131	0	0.903422862	0.942131994													
PORCN	PORCN	2.20E-05	0	0	0	0	0	0	0	1	0	0	1.97E-07	0	0.930227057	0	0.928638924	0	0.938272014	0.93052235													
GJC2	GJC2	2.20E-05	0	0	0	0	0	0	3	4	0	0	1.94E-07	0	0.930230841	0	0.928683113	0	0.938298449	0.930479965													
SLC7A6	SLC7A6	2.21E-05	0	0	1	0	0	0	4	10	2	2	2.43E-07	0	0.930234625	0	0.927885013	0	0.912288113	0.941702487													
DIO3	DIO3	2.22E-05	0	0	0	0	0	0	0	0	0	0	1.81E-07	0	0.930238409	0	0.928862916	0	0.93879832	0.930652268													
MORN5	MORN5	8.61E-06	0	0	2	0	0	0	2	4	0	0	2.13E-07	0	0.930242191	0	0.92838726	0	0.926683496	0.833247667													
CPSF7	CPSF7	2.15E-05	0	0	0	0	0	0	2	8	3	1	2.23E-07	0	0.930245974	0	0.928238228	0	0.938115501	0.930044926													
SLC52A3	SLC52A3	2.37E-05	0	0	1	0	0	0	1	3	0	0	1.51E-07	0	0.930249755	0	0.929255611	0	0.913392009	0.931956566													
CECR6	CECR6	2.28E-05	0	0	0	0	0	0	0	4	0	0	1.52E-07	0	0.930253537	0	0.929251996	0	0.938611029	0.931208681													
INSM1	INSM1	2.22E-05	0	0	0	0	0	0	3	3	0	0	1.83E-07	0	0.930257317	0	0.928840957	0	0.938390762	1													
RNASET2	RNASET2	8.93E-06	0	0	2	0	0	0	0	1	2	3	1.94E-07	0	0.930261097	0	0.928697829	0	0.927157581	0.940955801													
ENTPD1	ENTPD1	1.75E-05	0	0	1	0	0	0	3	8	2	1	5.33E-07	0	0.930264877	0	0.921911781	0	0.908651592	0.936401104													
FOXJ1	FOXJ1	2.22E-05	0	0	0	0	0	0	1	5	1	0	1.85E-07	0	0.930268656	0	0.928829971	0	0.938382861	0.930655507													
MED18	MED18	8.93E-06	0	0	2	0	0	0	2	11	3	2	1.93E-07	0	0.930272436	0	0.928734594	0	0.927251293	0.93043096													
BCL3	BCL3	2.21E-05	0	0	0	0	0	0	2	1	1	1	1.93E-07	0	0.930276215	0	0.928738268	0	0.938332769	1													
SP8	SP8	2.23E-05	0	0	0	0	0	0	0	1	0	0	1.82E-07	0	0.930279993	0	0.928881207	0	0.938403925	1													
NUPL1	NUPL1	2.15E-05	0	0	0	0	0	0	2	11	4	4	2.25E-07	0	0.930283771	0	0.928253165	0	0.938120822	0.938068374													
HTATIP2	HTATIP2	1.03E-05	0	0	4	2	1	0	2	11	3	0	1.89E-07	0	0.930287548	0	0.928793321	0	0.925972462	0.942289529													
AXDND1	AXDND1	3.33E-05	0	4	5	0	1	0	5	17	7	6	5.50E-07	0	0.930291324	0	0.921409288	0	0.894752978	0.94069175													
MTF2	MTF2	2.03E-05	0	0	0	0	0	0	2	3	0	0	3.04E-07	0	0.9302951	0	0.926841925	0	0.937399704	0.928825373													
ZNF318	ZNF318	7.68E-05	0	0	4	1	0	1	19	39	13	9	2.24E-07	0	0.930298875	0	0.928279287	0	0.87349605	0.939561441													
SLC2A14	SLC2A14	2.11E-05	0	0	0	0	1	0	4	8	2	3	3.10E-07	0	0.93030265	0	0.92674374	0	0.91165228	0.929641682													
ACTL6B	ACTL6B	2.21E-05	0	0	0	0	0	0	3	2	3	0	2.06E-07	0	0.930306425	0	0.928561431	0	0.938203157	0.943124013													
LOX	LOX	2.30E-05	0	0	1	0	0	0	0	0	0	2	2.00E-07	0	0.930310199	0	0.928661026	0	0.912891149	0.931356562													
THEMIS	THEMIS	2.38E-05	0	1	1	0	1	0	4	20	5	7	6.18E-07	0	0.930313972	0	0.919761805	0	0.901471684	0.884513816													
ACTR5	ACTR5	2.28E-05	0	0	1	0	0	0	6	11	3	5	2.04E-07	0	0.930317745	0	0.928602048	0	0.912963107	0.943222666													
MBD3	MBD3	2.19E-05	0	0	0	0	0	0	0	1	1	0	2.07E-07	0	0.930321517	0	0.92855404	0	0.938253493	0.930447307													
MAP3K11	MAP3K11	4.68E-05	0	0	1	1	0	0	2	13	4	7	1.97E-07	0	0.930325289	0	0.928705185	0	0.895718947	0.941231907													
CDK18	CDK18	2.47E-05	0	0	7	0	1	1	6	15	6	5	1.94E-07	0	0.93032906	0	0.9287603	0	0.949876293	0.875285165													
SRPX2	SRPX2	2.20E-05	0	0	0	0	0	0	0	5	0	0	2.08E-07	0	0.930332831	0	0.928546647	0	0.93821641	0.938228986													
IL23R	IL23R	2.00E-05	0	0	0	0	0	0	2	7	2	2	3.23E-07	0	0.930336602	0	0.926550329	0	0.937253938	0.928484285													
EDEM3	EDEM3	2.92E-05	0	0	2	1	0	0	1	12	1	2	3.03E-07	0	0.930340372	0	0.926935852	0	0.906835615	0.940254233													
FAM53A	FAM53A	2.25E-05	0	0	1	0	0	0	8	16	5	4	2.29E-07	0	0.930344141	0	0.928223284	0	0.912580031	0.924557859													
TUBB	TUBB	2.25E-05	0	0	0	0	0	0	0	2	0	2	1.76E-07	0	0.930347909	0	0.929019855	0	0.938446012	1													
ZNF653	ZNF653	3.04E-05	0	0	2	1	0	0	2	5	2	1	2.13E-07	0	0.930351677	0	0.928494845	0	0.90852156	0.936292864													
SSPN	SSPN	8.97E-06	0	0	2	0	0	0	1	7	2	0	1.96E-07	0	0.930355445	0	0.928749286	0	0.927247041	0.908482422													
KLHL41	KBTBD10	2.21E-05	0	0	0	0	0	0	0	4	1	3	2.01E-07	0	0.930359212	0	0.928675752	0	0.938279948	1													
SOX17	SOX17	2.24E-05	0	0	0	0	0	0	0	4	1	0	1.79E-07	0	0.930362978	0	0.928979786	0	0.938440755	0.930855356													
MEFV	MEFV	3.89E-05	0	0	0	2	3	0	2	20	8	6	1.71E-07	0	0.930366744	0	0.929092577	0	0.90397292	0.939344935													
TERF2IP	TERF2IP	1.64E-05	0	1	2	0	1	0	0	0	3	2	1.87E-07	0	0.930370509	0	0.928870233	0	0.918829004	0.860181615													
PRPF4	PRPF4	2.23E-05	0	0	0	0	0	0	6	10	4	1	1.93E-07	0	0.930374274	0	0.928789654	0	0.938324854	0.930736312													
NETO1	NETO1	2.13E-05	0	0	1	0	0	0	2	13	1	3	3.18E-07	0	0.930378038	0	0.926649174	0	0.911420371	0.93800441													
TFAP2C	TFAP2C	2.22E-05	0	0	0	0	0	0	2	5	1	1	1.89E-07	0	0.930381802	0	0.928859257	0	0.938380227	0.930632826													
CIAO1	CIAO1	1.62E-05	0	1	3	0	0	0	1	10	3	2	1.99E-07	0	0.930385565	0	0.928716217	0	0.9185613	0.923736786													
NR2C1	NR2C1	2.06E-05	0	0	0	0	0	0	2	6	4	5	2.86E-07	0	0.930389328	0	0.927281477	0	0.937631675	0.929140305													
FNTB	FNTB	2.02E-05	0	0	0	0	0	0	2	14	5	3	3.10E-07	0	0.93039309	0	0.926826237	0	0.937407928	1													
SIGIRR	SIGIRR	2.39E-05	0	2	4	0	0	0	3	9	2	2	1.83E-07	0	0.930396852	0	0.928943313	0	0.912833473	0.938845535													
TIPARP	TIPARP	2.16E-05	0	0	0	0	0	0	0	4	1	2	2.33E-07	0	0.930400613	0	0.928215808	0	0.938046225	0.930134617													
ELK3	ELK3	2.20E-05	0	0	1	0	0	0	1	17	0	1	3.04E-07	0	0.930404373	0	0.92699049	0	0.911360277	0.930489754													
RNF5	RNF5	9.37E-06	0	0	2	0	0	0	0	2	1	0	1.75E-07	0	0.930408133	0	0.929074414	0	0.92772273	0.909538957													
KIAA0907	KIAA0907	2.18E-05	0	0	0	0	0	0	0	4	1	0	2.19E-07	0	0.930411892	0	0.928446668	0	0.93821376	0.930358892													
GPC2	GPC2	2.32E-05	0	0	1	0	0	0	3	11	3	1	1.85E-07	0	0.930415651	0	0.928932363	0	0.913113797	0.873239031													
KCNJ9	KCNJ9	2.24E-05	0	0	0	0	0	0	0	1	1	1	1.80E-07	0	0.930419409	0	0.929001649	0	0.938424976	0.930813605													
PTK2	PTK2	4.14E-05	0	2	2	0	0	0	5	10	5	8	1.01E-06	0	0.930423167	0	0.905684978	0	0.879083949	0.938362993													
GGT6	GGT6	1.66E-05	0	0	3	1	0	0	2	9	1	2	1.78E-07	0	0.930426924	0	0.92903805	0	0.919117533	0.924290402													
SERPINA10	SERPINA10	1.66E-05	0	1	2	0	1	0	6	17	7	3	1.76E-07	0	0.93043068	0	0.92906351	0	0.919216922	0.924251308													
FADS1	FADS1	1.73E-05	0	3	3	0	3	0	0	0	0	0	2.17E-07	0	0.930434436	0	0.928487438	0	0.917926308	0.936272672													
GPX1	GPX1	3.63E-06	0	1	2	0	2	0	1	8	1	2	1.79E-07	0	0.930438191	0	0.929027134	0	0.932734869	0.892196191													
UBQLN1	UBQLN1	2.12E-05	0	0	0	0	0	0	1	8	0	1	2.64E-07	0	0.930441946	0	0.927710591	0	0.937758967	0.929749994													
RSPRY1	RSPRY1	2.17E-05	0	0	1	0	0	0	0	2	1	1	2.84E-07	0	0.9304457	0	0.927358576	0	0.91194937	0.930247043													
WNT8B	WNT8B	2.19E-05	0	0	0	0	0	0	1	6	2	0	2.11E-07	0	0.930449454	0	0.928594668	0	0.938258786	0.938200701													
BTBD3	BTBD3	2.14E-05	0	0	0	0	0	0	0	3	1	1	2.45E-07	0	0.930453207	0	0.92806966	0	0.9379714	0.929931457													
PNPLA2	PNPLA2	2.31E-05	0	0	1	0	0	0	5	23	6	2	1.88E-07	0	0.930456961	0	0.928921408	0	0.913171048	0.873042648													
TBX21	TBX21	2.22E-05	0	0	0	0	0	0	3	7	2	3	1.91E-07	0	0.930460714	0	0.928877549	0	0.938417083	0.930668457													
CKAP4	CKAP4	2.26E-05	0	0	0	0	0	0	2	8	9	3	1.86E-07	0	0.930464466	0	0.92895426	0	0.938372323	0.931021596													
KDM4D	KDM4D	2.21E-05	0	0	0	0	0	0	0	6	0	4	2.21E-07	0	0.930468218	0	0.928465207	0	0.938078223	0.938259596													
UBE2E2	UBE2E2	7.56E-06	0	0	0	0	0	0	1	1	0	1	1.12E-06	0	0.930471969	0	0.900301974	0	0.92371639	0.904385749													
HPS4	HPS4	3.12E-05	0	2	4	1	1	0	6	18	2	5	2.13E-07	0	0.930475719	0	0.928579901	0	0.908070721	0.940751697													
KCNV1	KCNV1	2.23E-05	0	0	0	0	0	0	1	0	0	0	1.91E-07	0	0.93047947	0	0.928906795	0	0.938388128	0.930697564													
MOB2	MOB2	1.38E-05	0	0	0	0	0	0	1	2	0	0	7.22E-07	0	0.93048322	0	0.91730367	0	0.932201584	0.852959273													
